"Subnational gas consumption, Great Britain, 2011",,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
,Unallocated,All local authorities,,32.8,0.3,33.1,449,250,698,"13,677","846,528","21,098"
00EJ,North East,County Durham,,216.3,2.1,218.4,"3,176","1,386","4,562","14,683","659,154","20,888"
00EH,North East,Darlington,,45.1,0.5,45.6,658,574,"1,232","14,599","1,186,323","27,043"
00CH,North East,Gateshead,,86.3,1.0,87.2,"1,237",784,"2,021","14,340","822,898","23,176"
00EB,North East,Hartlepool,[note 1],40.2,0.4,40.6,551,334,885,"13,702","843,126","21,788"
00EC,North East,Middlesbrough,[note 1],57.5,0.6,58.1,801,333,"1,134","13,928","543,980","19,519"
00CJ,North East,Newcastle upon Tyne,,108.7,1.8,110.4,"1,592","1,208","2,800","14,649","688,066","25,356"
00CK,North East,North Tyneside,,89.5,0.8,90.4,"1,281",552,"1,833","14,301","650,875","20,273"
00EM,North East,Northumberland,,115.7,1.3,117.0,"1,726","1,232","2,958","14,915","943,334","25,275"
00EE,North East,Redcar and Cleveland,[note 1],58.3,0.4,58.8,800,536,"1,336","13,722","1,226,442","22,743"
00CL,North East,South Tyneside,,67.3,0.6,67.9,912,245,"1,157","13,549","405,905","17,032"
00EF,North East,Stockton-on-Tees,[note 1],79.0,0.8,79.8,"1,132",797,"1,929","14,325","1,038,687","24,171"
00CM,North East,Sunderland,,118.9,1.2,120.1,"1,749",786,"2,535","14,715","635,145","21,110"
16UB,North West,Allerdale,[note 1],36.5,0.4,36.9,539,527,"1,066","14,766","1,187,097","28,863"
16UC,North West,Barrow-in-Furness,[note 1],31.6,0.3,31.9,393,535,929,"12,449","1,748,798","29,098"
00EX,North West,Blackburn with Darwen,[note 1],56.9,0.8,57.7,868,635,"1,503","15,273","768,284","26,057"
00EY,North West,Blackpool,,62.3,0.8,63.1,864,363,"1,227","13,861","443,917","19,433"
00BL,North West,Bolton,,113.8,1.3,115.1,"1,637",510,"2,147","14,384","401,397","18,655"
30UD,North West,Burnley,,38.7,0.5,39.2,548,207,755,"14,148","453,019","19,254"
00BM,North West,Bury,,77.2,0.8,78.1,"1,177",450,"1,627","15,246","533,266","20,841"
16UD,North West,Carlisle,,41.6,0.5,42.2,587,611,"1,198","14,101","1,131,260","28,404"
00EQ,North West,Cheshire East,[note 1],142.5,1.8,144.3,"2,248","1,797","4,045","15,779","1,004,604","28,043"
00EW,North West,Cheshire West and Chester,[note 1],130.6,1.3,132.0,"1,839","1,095","2,933","14,074","819,394","22,226"
30UE,North West,Chorley,[note 1],43.7,0.4,44.1,649,206,855,"14,848","509,904","19,384"
16UE,North West,Copeland,[note 1],28.1,0.2,28.4,411,87,498,"14,610","351,590","17,545"
16UF,North West,Eden,[note 1],10.4,0.2,10.5,155,258,413,"14,921","1,685,610","39,198"
30UF,North West,Fylde,,31.6,0.5,32.1,504,543,"1,047","15,938","1,170,288","32,619"
00ET,North West,Halton,[note 1],52.7,0.5,53.2,660,496,"1,157","12,526","994,764","21,734"
30UG,North West,Hyndburn,,35.0,0.4,35.4,501,200,701,"14,342","484,733","19,822"
00BX,North West,Knowsley,,61.9,0.5,62.4,775,591,"1,366","12,522","1,288,290","21,913"
30UH,North West,Lancaster,,53.0,0.6,53.6,746,429,"1,175","14,079","689,142","21,926"
00BY,North West,Liverpool,,190.8,2.2,193.1,"2,419","1,834","4,253","12,676","818,523","22,030"
00BN,North West,Manchester,[note 1],177.8,2.6,180.4,"2,269","1,711","3,980","12,763","649,433","22,057"
00BP,North West,Oldham,,88.1,1.1,89.2,"1,296",425,"1,721","14,707","402,241","19,295"
30UJ,North West,Pendle,,37.9,0.5,38.4,567,247,814,"14,947","541,545","21,218"
30UK,North West,Preston,,53.7,0.8,54.5,754,407,"1,161","14,040","515,987","21,307"
30UL,North West,Ribble Valley,,20.1,0.3,20.4,340,315,655,"16,925","1,113,469","32,141"
00BQ,North West,Rochdale,,86.4,1.0,87.3,"1,227",500,"1,727","14,207","517,287","19,771"
30UM,North West,Rossendale,,29.6,0.4,30.0,475,314,789,"16,049","864,986","26,334"
00BR,North West,Salford,,93.2,1.2,94.4,"1,235",585,"1,820","13,244","501,438","19,279"
00CA,North West,Sefton,[note 1],116.5,1.2,117.7,"1,711",422,"2,132","14,685","342,495","18,113"
16UG,North West,South Lakeland,,38.8,0.8,39.6,590,772,"1,362","15,209","996,960","34,407"
30UN,North West,South Ribble,,45.2,0.4,45.6,651,299,950,"14,402","702,616","20,827"
00BZ,North West,St. Helens,[note 1],77.1,0.7,77.8,"1,021","1,428","2,449","13,243","2,115,584","31,489"
00BS,North West,Stockport,,116.8,1.3,118.1,"1,860",664,"2,524","15,924","530,161","21,377"
00BT,North West,Tameside,,94.8,0.9,95.7,"1,295",522,"1,817","13,651","599,272","18,980"
00BU,North West,Trafford,,90.5,1.4,91.9,"1,461","2,708","4,169","16,149","1,950,746","45,384"
00EU,North West,Warrington,,85.2,0.9,86.1,"1,194","1,105","2,298","14,015","1,211,147","26,699"
30UP,North West,West Lancashire,[note 1],40.6,0.5,41.1,631,470,"1,101","15,521","978,021","26,779"
00BW,North West,Wigan,,133.3,1.0,134.3,"1,773",893,"2,666","13,303","865,612","19,852"
00CB,North West,Wirral,,137.7,1.3,139.0,"1,948",717,"2,665","14,145","569,099","19,175"
30UQ,North West,Wyre,,44.1,0.4,44.5,656,384,"1,040","14,878","969,445","23,378"
00CC,Yorkshire and The Humber,Barnsley,,100.9,0.8,101.7,"1,418","1,067","2,485","14,052","1,340,446","24,436"
00CX,Yorkshire and The Humber,Bradford,,194.9,2.8,197.7,"3,188","1,882","5,070","16,356","673,677","25,642"
00CY,Yorkshire and The Humber,Calderdale,,87.0,1.3,88.3,"1,359",682,"2,041","15,614","528,721","23,110"
36UB,Yorkshire and The Humber,Craven,,20.5,0.3,20.9,325,122,447,"15,861","368,184","21,437"
00CE,Yorkshire and The Humber,Doncaster,,124.1,1.1,125.2,"1,760","1,157","2,918","14,180","1,056,757","23,295"
00FB,Yorkshire and The Humber,East Riding of Yorkshire,[note 1],126.1,1.3,127.3,"1,919","1,331","3,249","15,217","1,061,881","25,516"
36UC,Yorkshire and The Humber,Hambleton,,23.7,0.3,24.0,361,276,636,"15,204","984,619","26,510"
36UD,Yorkshire and The Humber,Harrogate,,56.4,1.0,57.4,952,488,"1,439","16,881","483,694","25,082"
00FA,Yorkshire and The Humber,"Kingston upon Hull, City of",[note 1],109.9,1.3,111.2,"1,386","1,050","2,435","12,609","819,291","21,905"
00CZ,Yorkshire and The Humber,Kirklees,[note 1],171.6,2.1,173.7,"2,653","1,346","3,999","15,466","627,926","23,022"
00DA,Yorkshire and The Humber,Leeds,[note 1],300.3,3.9,304.2,"4,450","2,210","6,660","14,819","564,721","21,892"
00FC,Yorkshire and The Humber,North East Lincolnshire,[note 1],68.6,0.7,69.2,913,"2,437","3,349","13,309","3,748,656","48,385"
00FD,Yorkshire and The Humber,North Lincolnshire,[note 1],65.1,0.6,65.7,933,708,"1,642","14,331","1,184,529","24,977"
36UE,Yorkshire and The Humber,Richmondshire,,12.2,0.2,12.4,190,144,334,"15,612","635,348","26,969"
00CF,Yorkshire and The Humber,Rotherham,[note 1],109.1,1.1,110.2,"1,541","1,044","2,584","14,118","987,325","23,455"
36UF,Yorkshire and The Humber,Ryedale,,12.9,0.2,13.0,192,263,454,"14,900","1,460,263","34,848"
36UG,Yorkshire and The Humber,Scarborough,,45.8,0.6,46.4,654,431,"1,085","14,282","700,806","23,384"
36UH,Yorkshire and The Humber,Selby,,26.0,0.2,26.2,382,"1,021","1,403","14,704","4,475,981","53,499"
00CG,Yorkshire and The Humber,Sheffield,[note 1],219.5,2.7,222.1,"3,204","2,184","5,388","14,598","820,900","24,258"
00DB,Yorkshire and The Humber,Wakefield,[note 1],138.3,1.5,139.7,"1,958","1,420","3,378","14,164","977,758","24,179"
00FF,Yorkshire and The Humber,York,,77.5,1.2,78.7,"1,146",617,"1,764","14,792","533,060","22,421"
17UB,East Midlands,Amber Valley,,51.1,0.5,51.6,764,359,"1,123","14,943","679,107","21,749"
37UB,East Midlands,Ashfield,,50.3,0.5,50.8,729,292,"1,021","14,487","606,147","20,103"
37UC,East Midlands,Bassetlaw,[note 1],40.0,0.4,40.4,573,242,816,"14,338","629,127","20,200"
31UB,East Midlands,Blaby,,37.6,0.4,38.0,579,189,767,"15,379","488,905","20,188"
17UC,East Midlands,Bolsover,,31.4,0.3,31.7,453,183,636,"14,421","679,551","20,092"
32UB,East Midlands,Boston,,21.0,0.2,21.2,293,79,372,"13,958","366,906","17,516"
37UD,East Midlands,Broxtowe,,47.2,0.4,47.5,699,216,915,"14,825","563,249","19,254"
31UC,East Midlands,Charnwood,,65.7,0.8,66.5,977,609,"1,586","14,865","753,211","23,831"
17UD,East Midlands,Chesterfield,,46.1,0.5,46.7,635,356,990,"13,751","675,942","21,214"
34UB,East Midlands,Corby,[note 1],26.1,0.3,26.4,357,918,"1,275","13,702","2,700,763","48,308"
34UC,East Midlands,Daventry,,23.2,0.3,23.5,350,194,543,"15,104","586,509","23,132"
00FK,East Midlands,Derby,[note 1],100.8,1.0,101.8,"1,362",852,"2,214","13,510","847,561","21,741"
17UF,East Midlands,Derbyshire Dales,,25.3,0.4,25.7,422,303,724,"16,680","692,511","28,165"
32UC,East Midlands,East Lindsey,,38.4,0.5,38.9,536,200,736,"13,955","414,884","18,926"
34UD,East Midlands,East Northamptonshire,,31.2,0.3,31.5,442,112,555,"14,180","359,121","17,608"
17UG,East Midlands,Erewash,,48.4,0.5,48.8,671,172,843,"13,872","375,369","17,261"
37UE,East Midlands,Gedling,,47.2,0.4,47.6,733,320,"1,053","15,529","880,835","22,128"
31UD,East Midlands,Harborough,,29.7,0.4,30.1,489,180,669,"16,447","460,390","22,194"
17UH,East Midlands,High Peak,[note 1],37.2,0.5,37.7,593,275,869,"15,942","584,807","23,049"
31UE,East Midlands,Hinckley and Bosworth,,42.4,0.4,42.8,619,191,811,"14,603","476,923","18,933"
34UE,East Midlands,Kettering,,38.2,0.4,38.5,533,391,924,"13,966","1,060,326","23,985"
00FN,East Midlands,Leicester,,116.8,1.8,118.6,"1,705","1,374","3,078","14,594","771,294","25,958"
32UD,East Midlands,Lincoln,[note 1],39.8,0.5,40.3,504,319,824,"12,662","616,646","20,416"
37UF,East Midlands,Mansfield,,44.7,0.4,45.1,668,126,794,"14,952","287,988","17,601"
31UG,East Midlands,Melton,,17.5,0.2,17.7,259,214,474,"14,801","1,087,606","26,727"
37UG,East Midlands,Newark and Sherwood,,42.9,0.5,43.3,640,774,"1,414","14,925","1,642,600","32,612"
17UJ,East Midlands,North East Derbyshire,,41.1,0.4,41.5,636,269,905,"15,464","749,159","21,816"
32UE,East Midlands,North Kesteven,,35.3,0.3,35.6,507,206,713,"14,379","754,357","20,059"
31UH,East Midlands,North West Leicestershire,,34.4,0.4,34.8,530,492,"1,022","15,413","1,149,092","29,348"
34UF,East Midlands,Northampton,,86.3,1.0,87.3,"1,143",592,"1,736","13,249","565,813","19,872"
00FY,East Midlands,Nottingham,,115.1,1.7,116.8,"1,525","1,161","2,685","13,245","697,090","22,994"
31UJ,East Midlands,Oadby and Wigston,,22.1,0.3,22.5,350,126,475,"15,807","373,256","21,171"
37UJ,East Midlands,Rushcliffe,,43.2,0.4,43.6,719,486,"1,205","16,651","1,157,517","27,647"
00FP,East Midlands,Rutland,,12.2,0.2,12.4,200,77,277,"16,350","389,526","22,258"
17UK,East Midlands,South Derbyshire,,35.0,0.3,35.3,505,439,944,"14,430","1,493,807","26,746"
32UF,East Midlands,South Holland,[note 1],27.0,0.2,27.2,385,249,633,"14,237","1,091,801","23,256"
32UG,East Midlands,South Kesteven,,45.6,0.5,46.0,640,390,"1,030","14,048","832,237","22,385"
34UG,East Midlands,South Northamptonshire,,27.1,0.2,27.3,418,91,509,"15,458","375,283","18,647"
34UH,East Midlands,Wellingborough,,31.5,0.4,31.9,428,159,587,"13,596","419,155","18,434"
32UH,East Midlands,West Lindsey,,29.8,0.3,30.1,435,130,565,"14,569","482,868","18,754"
00CN,West Midlands,Birmingham,[note 1],384.7,5.3,390.0,"5,659","3,306","8,965","14,708","622,641","22,985"
47UB,West Midlands,Bromsgrove,,35.9,0.5,36.3,588,126,714,"16,388","274,390","19,663"
41UB,West Midlands,Cannock Chase,,39.2,0.3,39.5,572,229,801,"14,601","686,175","20,282"
00CQ,West Midlands,Coventry,,125.4,1.3,126.7,"1,664",973,"2,637","13,267","758,399","20,814"
00CR,West Midlands,Dudley,,128.7,1.4,130.1,"1,805",723,"2,528","14,027","515,482","19,432"
41UC,West Midlands,East Staffordshire,,41.6,0.5,42.1,583,645,"1,228","14,015","1,308,601","29,186"
00GA,West Midlands,"Herefordshire, County of",,49.5,0.6,50.1,619,550,"1,169","12,494","903,301","23,318"
41UD,West Midlands,Lichfield,,38.2,0.5,38.6,605,172,777,"15,846","381,863","20,109"
47UC,West Midlands,Malvern Hills,,21.0,0.3,21.2,290,84,374,"13,835","299,033","17,595"
41UE,West Midlands,Newcastle-under-Lyme,,49.6,0.5,50.1,751,492,"1,243","15,130","1,020,803","24,805"
44UB,West Midlands,North Warwickshire,,22.9,0.3,23.2,337,288,625,"14,690","954,051","26,896"
44UC,West Midlands,Nuneaton and Bedworth,,50.4,0.5,50.9,693,201,894,"13,750","417,982","17,564"
47UD,West Midlands,Redditch,,34.1,0.4,34.5,445,178,623,"13,023","479,254","18,048"
44UD,West Midlands,Rugby,,38.3,0.4,38.7,555,362,918,"14,502","812,000","23,681"
00CS,West Midlands,Sandwell,,121.6,1.4,123.0,"1,636","1,029","2,665","13,459","734,258","21,677"
00GG,West Midlands,Shropshire,,86.3,1.0,87.3,"1,151",680,"1,831","13,333","676,871","20,962"
00CT,West Midlands,Solihull,,81.6,0.9,82.5,"1,291",729,"2,020","15,836","804,464","24,501"
41UF,West Midlands,South Staffordshire,,40.0,0.3,40.3,624,348,971,"15,584","1,060,124","24,076"
41UG,West Midlands,Stafford,,46.9,0.5,47.4,706,356,"1,062","15,060","673,968","22,400"
41UH,West Midlands,Staffordshire Moorlands,,35.3,0.3,35.7,560,260,820,"15,841","782,118","22,996"
00GL,West Midlands,Stoke-on-Trent,[note 1],107.2,1.2,108.4,"1,458","1,022","2,479","13,595","862,819","22,870"
44UE,West Midlands,Stratford-on-Avon,,35.6,0.5,36.1,525,186,712,"14,753","368,541","19,699"
41UK,West Midlands,Tamworth,,29.6,0.3,29.9,392,158,550,"13,239","542,283","18,408"
00GF,West Midlands,Telford and Wrekin,,65.4,0.8,66.2,859,566,"1,425","13,126","733,406","21,524"
00CU,West Midlands,Walsall,,103.9,1.2,105.1,"1,505",711,"2,216","14,488","606,748","21,088"
44UF,West Midlands,Warwick,,51.0,0.7,51.8,751,263,"1,014","14,717","367,245","19,587"
00CW,West Midlands,Wolverhampton,,96.7,1.3,98.0,"1,402",701,"2,102","14,493","542,703","21,451"
47UE,West Midlands,Worcester,,39.8,0.5,40.2,493,251,744,"12,385","535,189","18,479"
47UF,West Midlands,Wychavon,,37.5,0.4,38.0,513,503,"1,016","13,675","1,142,098","26,745"
47UG,West Midlands,Wyre Forest,,38.5,0.4,38.9,518,167,685,"13,448","441,218","17,604"
42UB,East,Babergh,,23.8,0.2,24.0,331,136,467,"13,930","573,822","19,459"
22UB,East,Basildon,,68.5,0.6,69.1,917,348,"1,266","13,390","563,705","18,310"
00KB,East,Bedford,,56.2,0.8,57.0,798,319,"1,117","14,203","421,228","19,621"
22UC,East,Braintree,,46.0,0.5,46.5,646,259,905,"14,046","544,043","19,471"
33UB,East,Breckland,,31.3,0.3,31.6,404,135,539,"12,907","407,528","17,052"
22UD,East,Brentwood,,29.5,0.4,30.0,506,129,635,"17,132","292,962","21,180"
33UC,East,Broadland,,41.4,0.3,41.7,588,122,709,"14,192","458,202","17,026"
26UB,East,Broxbourne,[note 1],34.9,0.4,35.2,498,134,633,"14,294","359,817","17,951"
12UB,East,Cambridge,,43.1,1.1,44.2,613,617,"1,230","14,242","547,228","27,839"
22UE,East,Castle Point,,34.6,0.2,34.9,542,73,615,"15,633","297,756","17,623"
00KC,East,Central Bedfordshire,,94.6,0.8,95.5,"1,350",386,"1,736","14,269","461,349","18,184"
22UF,East,Chelmsford,,57.8,0.6,58.4,849,281,"1,130","14,686","445,400","19,329"
22UG,East,Colchester,,59.5,0.6,60.1,818,276,"1,095","13,761","444,460","18,220"
26UC,East,Dacorum,,55.4,0.7,56.1,859,223,"1,083","15,516","322,885","19,311"
12UC,East,East Cambridgeshire,,24.3,0.2,24.5,344,79,422,"14,132","379,262","17,215"
26UD,East,East Hertfordshire,,46.4,0.6,47.1,731,279,"1,010","15,749","434,968","21,457"
22UH,East,Epping Forest,[note 1],46.7,0.7,47.4,780,440,"1,220","16,715","594,399","25,729"
12UD,East,Fenland,,32.8,0.3,33.1,455,642,"1,096","13,870","2,243,695","33,157"
42UC,East,Forest Heath,,17.0,0.2,17.2,216,109,325,"12,761","454,139","18,923"
33UD,East,Great Yarmouth,[note 1],32.0,0.4,32.3,383,141,525,"11,991","380,009","16,225"
22UJ,East,Harlow,[note 1],34.1,0.4,34.5,425,265,690,"12,466","677,730","20,003"
26UE,East,Hertsmere,,38.4,0.7,39.1,650,261,911,"16,920","383,380","23,301"
12UE,East,Huntingdonshire,[note 1],60.1,0.6,60.7,837,339,"1,176","13,921","580,162","19,366"
42UD,East,Ipswich,,50.9,0.6,51.5,638,200,838,"12,517","360,288","16,271"
33UE,East,King's Lynn and West Norfolk,[note 1],35.2,0.4,35.6,466,"2,559","3,025","13,238","5,950,856","84,940"
00KA,East,Luton,,69.6,0.8,70.4,"1,032",414,"1,446","14,830","512,004","20,544"
22UK,East,Maldon,,16.1,0.1,16.3,232,63,295,"14,353","466,080","18,099"
42UE,East,Mid Suffolk,,18.2,0.1,18.3,230,240,470,"12,652","1,610,479","25,634"
26UF,East,North Hertfordshire,,46.5,0.6,47.2,688,318,"1,006","14,787","516,172","21,335"
33UF,East,North Norfolk,,25.7,0.3,26.0,341,216,557,"13,252","681,135","21,382"
33UG,East,Norwich,,57.9,0.8,58.7,685,486,"1,171","11,829","626,907","19,962"
00JA,East,Peterborough,[note 1],70.3,0.7,71.0,929,423,"1,352","13,225","564,988","19,036"
22UL,East,Rochford,,31.2,0.3,31.5,500,82,582,"16,023","316,856","18,508"
12UG,East,South Cambridgeshire,,42.5,0.5,42.9,639,451,"1,090","15,045","942,502","25,391"
33UH,East,South Norfolk,,28.8,0.2,29.0,396,236,633,"13,772","1,036,379","21,810"
00KF,East,Southend-on-Sea,,72.2,0.8,73.0,"1,076",213,"1,289","14,907","278,893","17,672"
26UG,East,St Albans,,54.0,0.8,54.8,919,277,"1,197","17,019","360,710","21,842"
42UF,East,St Edmundsbury,,32.6,0.4,33.0,430,"1,684","2,115","13,210","3,751,668","64,028"
26UH,East,Stevenage,,33.3,0.4,33.7,425,302,727,"12,756","848,335","21,592"
42UG,East,Suffolk Coastal,,39.0,0.4,39.4,553,129,682,"14,156","362,252","17,311"
22UN,East,Tendring,,54.2,0.5,54.7,736,233,969,"13,565","506,868","17,713"
26UJ,East,Three Rivers,,33.3,0.5,33.9,593,145,738,"17,792","270,144","21,792"
00KG,East,Thurrock,[note 1],55.8,0.5,56.2,730,959,"1,689","13,092","1,925,535","30,023"
22UQ,East,Uttlesford,,22.4,0.3,22.7,371,149,520,"16,533","468,873","22,858"
26UK,East,Watford,,32.7,0.4,33.2,495,157,653,"15,129","350,320","19,663"
42UH,East,Waveney,,45.5,0.4,45.9,576,167,743,"12,675","431,130","16,206"
26UL,East,Welwyn Hatfield,,42.1,0.6,42.7,630,275,904,"14,951","461,553","21,173"
00AB,London,Barking and Dagenham,[note 1],65.8,0.5,66.2,776,241,"1,017","11,797","502,881","15,355"
00AC,London,Barnet,,126.3,2.2,128.5,"2,260",548,"2,808","17,897","250,829","21,859"
00AD,London,Bexley,,88.8,0.6,89.4,"1,288",772,"2,060","14,504","1,210,123","23,033"
00AE,London,Brent,,101.9,1.2,103.1,"1,601",521,"2,123","15,707","447,639","20,587"
00AF,London,Bromley,,128.2,1.3,129.6,"2,099",394,"2,492","16,367","292,911","19,236"
00AG,London,Camden,,79.5,2.8,82.3,"1,010","1,464","2,474","12,693","525,816","30,046"
00AA,London,City of London,,2.7,1.0,3.7,34,797,831,"12,667","796,611","226,722"
00AH,London,Croydon,,136.5,1.4,137.9,"2,104",462,"2,566","15,411","331,091","18,601"
00AJ,London,Ealing,,117.9,1.5,119.4,"1,747",759,"2,506","14,819","515,564","20,993"
00AK,London,Enfield,[note 1],107.0,1.1,108.2,"1,614",605,"2,219","15,076","527,148","20,510"
00AL,London,Greenwich,,92.3,0.9,93.2,"1,192","1,025","2,217","12,915","1,137,378","23,787"
00AM,London,Hackney,,90.8,1.0,91.7,"1,035",278,"1,313","11,398","290,191","14,306"
00AN,London,Hammersmith and Fulham,,74.8,1.0,75.8,935,616,"1,551","12,500","633,761","20,470"
00AP,London,Haringey,,96.0,1.1,97.1,"1,341",333,"1,674","13,973","308,953","17,253"
00AQ,London,Harrow,,81.7,0.9,82.6,"1,454",476,"1,930","17,801","520,935","23,367"
00AR,London,Havering,,95.0,0.8,95.9,"1,406",220,"1,626","14,788","271,385","16,961"
00AS,London,Hillingdon,,96.9,1.2,98.0,"1,479",984,"2,463","15,271","839,500","25,124"
00AT,London,Hounslow,,83.2,1.1,84.3,"1,206",646,"1,853","14,493","595,754","21,972"
00AU,London,Islington,[note 1],87.8,1.2,89.0,965,581,"1,547","10,998","465,791","17,374"
00AW,London,Kensington and Chelsea,,71.2,2.4,73.7,938,912,"1,851","13,178","374,832","25,130"
00AX,London,Kingston upon Thames,,58.9,0.8,59.7,920,248,"1,168","15,617","312,257","19,557"
00AY,London,Lambeth,,119.2,1.3,120.5,"1,469",825,"2,294","12,329","632,740","19,044"
00AZ,London,Lewisham,,108.3,0.9,109.2,"1,391",319,"1,710","12,847","356,471","15,664"
00BA,London,Merton,,75.7,1.0,76.7,"1,106",333,"1,439","14,606","350,185","18,769"
00BB,London,Newham,,92.7,0.9,93.6,"1,155","1,365","2,520","12,467","1,558,084","26,939"
00BC,London,Redbridge,,93.3,0.8,94.1,"1,494",240,"1,734","16,023","288,668","18,428"
00BD,London,Richmond upon Thames,,77.5,1.1,78.6,"1,241",349,"1,590","16,021","320,229","20,239"
00BE,London,Southwark,,103.2,1.5,104.6,"1,103",915,"2,018","10,693","631,010","19,292"
00BF,London,Sutton,,71.2,0.7,71.9,"1,076",250,"1,326","15,114","344,341","18,443"
00BG,London,Tower Hamlets,,76.7,1.2,77.9,754,742,"1,496","9,828","615,562","19,207"
00BH,London,Waltham Forest,,91.9,0.8,92.7,"1,254",296,"1,550","13,644","366,293","16,713"
00BJ,London,Wandsworth,,119.2,1.4,120.6,"1,591",637,"2,228","13,353","448,853","18,481"
00BK,London,Westminster,,90.0,5.1,95.1,"1,038","2,683","3,721","11,541","523,476","39,132"
45UB,South East,Adur,,25.0,0.2,25.2,304,80,384,"12,184","370,930","15,245"
45UC,South East,Arun,,61.6,0.6,62.1,837,268,"1,105","13,598","468,174","17,790"
29UB,South East,Ashford,,38.8,0.4,39.2,513,199,712,"13,228","491,710","18,172"
11UB,South East,Aylesbury Vale,,55.5,0.6,56.1,816,308,"1,124","14,713","500,353","20,036"
24UB,South East,Basingstoke and Deane,,59.3,0.6,59.9,802,404,"1,206","13,520","653,671","20,120"
00MA,South East,Bracknell Forest,,41.4,0.5,41.9,608,251,859,"14,659","511,719","20,480"
00ML,South East,Brighton and Hove,[note 1],108.6,1.2,109.8,"1,349",414,"1,763","12,423","334,437","16,049"
29UC,South East,Canterbury,,56.7,0.7,57.4,798,343,"1,142","14,079","486,330","19,885"
38UB,South East,Cherwell,,43.9,0.6,44.5,598,697,"1,295","13,623","1,144,460","29,100"
45UD,South East,Chichester,,36.9,0.5,37.4,517,413,930,"14,025","802,047","24,881"
11UC,South East,Chiltern,,34.3,0.6,34.9,682,145,826,"19,865","232,837","23,651"
45UE,South East,Crawley,,40.5,0.5,41.0,512,331,843,"12,630","683,012","20,557"
29UD,South East,Dartford,,37.1,0.4,37.5,503,150,653,"13,536","396,260","17,403"
29UE,South East,Dover,,43.9,0.4,44.3,566,263,829,"12,875","683,218","18,697"
24UC,South East,East Hampshire,,40.1,0.5,40.5,625,187,812,"15,596","408,814","20,030"
