"Subnational gas consumption, Great Britain, 2010",,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
33UD,East,Great Yarmouth,[note 1],31.7,0.4,32.1,407,136,543,"12,840","354,021","16,914"
22UJ,East,Harlow,[note 1],34.0,0.4,34.4,458,296,754,"13,484","720,765","21,916"
26UE,East,Hertsmere,,38.2,0.7,38.9,688,290,978,"18,010","412,801","25,130"
12UE,East,Huntingdonshire,[note 1],59.7,0.6,60.3,891,348,"1,239","14,928","583,550","20,559"
42UD,East,Ipswich,,50.5,0.6,51.1,685,215,900,"13,556","385,263","17,623"
33UE,East,King's Lynn and West Norfolk,[note 1],34.7,0.4,35.1,490,"2,548","3,038","14,113","5,871,395","86,440"
00KA,East,Luton,,68.8,0.8,69.7,"1,087",464,"1,551","15,800","558,741","22,270"
22UK,East,Maldon,,16.0,0.1,16.2,250,69,318,"15,573","487,967","19,693"
42UE,East,Mid Suffolk,,18.0,0.1,18.1,246,210,456,"13,683","1,460,717","25,195"
26UF,East,North Hertfordshire,,46.2,0.7,46.9,732,334,"1,066","15,825","508,375","22,727"
33UF,East,North Norfolk,,25.6,0.3,25.9,360,210,570,"14,085","642,201","22,012"
33UG,East,Norwich,,57.7,0.8,58.5,727,546,"1,273","12,613","689,941","21,778"
00JA,East,Peterborough,[note 1],69.4,0.8,70.2,983,402,"1,385","14,166","511,280","19,743"
22UL,East,Rochford,,31.1,0.3,31.4,543,71,614,"17,440","275,584","19,572"
12UG,East,South Cambridgeshire,,41.9,0.5,42.4,668,554,"1,223","15,936","1,154,847","28,822"
33UH,East,South Norfolk,,28.2,0.2,28.4,418,215,633,"14,802","927,128","22,243"
00KF,East,Southend-on-Sea,,71.9,0.8,72.7,"1,169",237,"1,406","16,270","296,829","19,347"
26UG,East,St Albans,,53.8,0.8,54.6,978,299,"1,278","18,173","390,709","23,399"
42UF,East,St Edmundsbury,,32.4,0.5,32.8,459,"2,213","2,672","14,166","4,895,730","81,346"
26UH,East,Stevenage,,33.2,0.4,33.6,455,315,770,"13,707","863,756","22,948"
42UG,East,Suffolk Coastal,,38.8,0.4,39.2,592,136,728,"15,257","360,960","18,574"
22UN,East,Tendring,,54.3,0.5,54.8,806,246,"1,052","14,834","504,391","19,193"
26UJ,East,Three Rivers,,33.1,0.5,33.6,627,145,772,"18,957","271,006","22,963"
00KG,East,Thurrock,[note 1],55.5,0.5,56.0,786,907,"1,693","14,166","1,821,616","30,249"
22UQ,East,Uttlesford,,21.9,0.3,22.3,386,153,539,"17,594","454,881","24,187"
26UK,East,Watford,,32.4,0.5,32.9,522,180,702,"16,099","376,304","21,334"
42UH,East,Waveney,,45.2,0.4,45.6,617,171,789,"13,645","436,104","17,285"
26UL,East,Welwyn Hatfield,,41.9,0.6,42.5,668,297,965,"15,941","487,041","22,698"
00AB,London,Barking and Dagenham,[note 1],65.5,0.5,66.0,825,221,"1,046","12,599","444,816","15,854"
00AC,London,Barnet,,125.6,2.3,127.9,"2,387",589,"2,976","19,007","252,202","23,264"
00AD,London,Bexley,,88.6,0.7,89.3,"1,380",738,"2,118","15,571","1,114,712","23,722"
00AE,London,Brent,,101.6,1.2,102.8,"1,700",517,"2,217","16,738","421,478","21,569"
00AF,London,Bromley,,127.9,1.4,129.3,"2,232",414,"2,646","17,454","295,046","20,466"
00AG,London,Camden,,79.2,2.9,82.1,"1,070","1,434","2,504","13,510","502,882","30,518"
00AA,London,City of London,,2.7,1.0,3.7,35,864,899,"13,272","835,570","242,575"
00AH,London,Croydon,,135.9,1.5,137.4,"2,225",493,"2,718","16,368","324,957","19,774"
00AJ,London,Ealing,,117.6,1.5,119.1,"1,860",747,"2,607","15,822","495,874","21,893"
00AK,London,Enfield,[note 1],106.7,1.2,107.9,"1,723",565,"2,289","16,145","486,627","21,213"
00AL,London,Greenwich,,92.5,0.9,93.4,"1,271","1,084","2,356","13,749","1,178,489","25,222"
00AM,London,Hackney,,90.1,1.0,91.1,"1,103",274,"1,377","12,243","287,193","15,123"
00AN,London,Hammersmith and Fulham,,74.6,1.0,75.6,"1,005",637,"1,642","13,470","637,472","21,726"
00AP,London,Haringey,,95.5,1.1,96.6,"1,434",335,"1,770","15,026","294,504","18,321"
00AQ,London,Harrow,,81.5,1.0,82.4,"1,534",545,"2,079","18,827","568,475","25,221"
00AR,London,Havering,,94.5,0.8,95.3,"1,509",232,"1,741","15,976","282,629","18,273"
00AS,London,Hillingdon,,96.6,1.2,97.8,"1,574","1,352","2,925","16,299","1,117,159","29,925"
00AT,London,Hounslow,,82.7,1.1,83.9,"1,282",674,"1,956","15,493","599,220","23,316"
00AU,London,Islington,[note 1],87.3,1.3,88.6,"1,034",615,"1,650","11,843","472,563","18,610"
00AW,London,Kensington and Chelsea,,70.9,2.6,73.4,994,949,"1,944","14,035","371,089","26,476"
00AX,London,Kingston upon Thames,,58.6,0.9,59.5,975,279,"1,254","16,650","319,988","21,094"
00AY,London,Lambeth,,118.4,1.3,119.8,"1,556",795,"2,351","13,137","598,988","19,627"
00AZ,London,Lewisham,,107.6,0.9,108.5,"1,482",272,"1,754","13,767","294,856","16,160"
00BA,London,Merton,,75.2,1.0,76.2,"1,167",351,"1,518","15,522","341,705","19,913"
00BB,London,Newham,,92.0,0.8,92.9,"1,217","1,316","2,534","13,228","1,579,886","27,281"
00BC,London,Redbridge,,92.9,0.9,93.8,"1,587",263,"1,849","17,076","292,928","19,713"
00BD,London,Richmond upon Thames,,77.1,1.1,78.3,"1,322",372,"1,694","17,141","323,940","21,645"
00BE,London,Southwark,,102.7,1.5,104.2,"1,168","1,005","2,173","11,378","674,772","20,859"
00BF,London,Sutton,,70.5,0.8,71.3,"1,140",259,"1,399","16,165","331,905","19,620"
00BG,London,Tower Hamlets,,76.1,1.2,77.3,797,703,"1,500","10,479","591,514","19,411"
00BH,London,Waltham Forest,,91.2,0.8,92.1,"1,327",332,"1,659","14,542","403,929","18,022"
00BJ,London,Wandsworth,,118.5,1.5,120.0,"1,685",682,"2,367","14,217","451,015","19,722"
00BK,London,Westminster,,89.4,5.3,94.7,"1,098","2,813","3,911","12,280","535,034","41,307"
45UB,South East,Adur,,24.8,0.2,25.1,332,93,425,"13,380","383,488","16,955"
45UC,South East,Arun,,61.0,0.6,61.6,896,283,"1,179","14,684","473,515","19,137"
29UB,South East,Ashford,,38.4,0.4,38.8,545,233,778,"14,192","552,992","20,049"
11UB,South East,Aylesbury Vale,,55.8,0.6,56.4,859,293,"1,152","15,393","462,272","20,414"
24UB,South East,Basingstoke and Deane,,59.0,0.7,59.6,838,485,"1,324","14,220","745,449","22,205"
00MA,South East,Bracknell Forest,,41.3,0.5,41.8,647,265,912,"15,658","513,391","21,798"
00ML,South East,Brighton and Hove,[note 1],108.1,1.3,109.4,"1,456",498,"1,953","13,461","388,228","17,852"
29UC,South East,Canterbury,,56.3,0.7,57.0,847,347,"1,194","15,060","474,158","20,949"
38UB,South East,Cherwell,,43.7,0.6,44.3,624,738,"1,362","14,287","1,188,719","30,761"
45UD,South East,Chichester,,36.6,0.5,37.2,546,407,952,"14,896","776,111","25,631"
11UC,South East,Chiltern,,34.3,0.6,35.0,723,163,886,"21,050","251,476","25,325"
45UE,South East,Crawley,,40.4,0.5,40.9,552,384,936,"13,658","755,105","22,860"
29UD,South East,Dartford,,37.0,0.4,37.4,539,196,735,"14,579","527,775","19,675"
29UE,South East,Dover,,43.7,0.4,44.1,605,263,868,"13,851","651,109","19,690"
