"Subnational electricity consumption, Great Britain, 2010",,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
00EJ,North East,County Durham,235.5,15.1,250.6,824,"1,229","2,053","3,499","81,623","8,193","3,736"
00EH,North East,Darlington,49.1,3.6,52.6,180,281,461,"3,677","78,896","8,764","3,950"
00CH,North East,Gateshead,93.1,6.2,99.2,318,586,904,"3,419","95,065","9,107","3,632"
00EB,North East,Hartlepool,42.0,2.9,44.9,146,366,512,"3,474","125,959","11,388","3,672"
00EC,North East,Middlesbrough,60.6,4.1,64.6,214,367,581,"3,540","90,434","8,993","3,806"
00CJ,North East,Newcastle upon Tyne,125.2,9.6,134.8,453,920,"1,373","3,621","95,456","10,184","3,918"
00CK,North East,North Tyneside,95.7,5.4,101.1,327,506,833,"3,419","93,756","8,239","3,646"
00EM,North East,Northumberland,150.4,12.8,163.3,601,"1,008","1,608","3,992","78,513","9,852","4,380"
00EE,North East,Redcar and Cleveland,62.6,3.6,66.2,223,730,954,"3,565","202,174","14,405","3,795"
00CL,North East,South Tyneside,70.0,3.9,73.9,228,248,476,"3,253","63,253","6,436","3,435"
00EF,North East,Stockton-on-Tees,83.1,5.1,88.2,303,814,"1,117","3,649","159,431","12,660","3,872"
00CM,North East,Sunderland,125.6,7.6,133.2,432,839,"1,271","3,439","110,350","9,540","3,662"
16UB,North West,Allerdale,44.8,5.3,50.0,194,481,675,"4,343","90,924","13,497","4,633"
16UC,North West,Barrow-in-Furness,32.8,2.1,34.9,119,392,511,"3,625","185,352","14,633","3,838"
00EX,North West,Blackburn with Darwen,59.5,4.9,64.4,234,452,686,"3,930","91,462","10,646","4,141"
00EY,North West,Blackpool,67.3,6.7,74.0,279,327,606,"4,153","49,032","8,194","4,373"
00BL,North West,Bolton,121.9,7.8,129.8,474,568,"1,042","3,891","72,303","8,029","4,157"
30UD,North West,Burnley,40.0,3.1,43.1,149,208,357,"3,723","66,275","8,281","4,042"
00BM,North West,Bury,81.8,5.3,87.0,327,371,698,"3,995","70,635","8,020","4,244"
16UD,North West,Carlisle,48.9,4.9,53.8,205,362,568,"4,199","73,946","10,556","4,315"
00EQ,North West,Cheshire East,163.5,13.7,177.2,735,"1,100","1,836","4,497","80,439","10,360","4,678"
00EW,North West,Cheshire West and Chester,145.7,11.2,156.9,612,"1,779","2,390","4,199","158,255","15,234","4,378"
30UE,North West,Chorley,45.9,3.2,49.1,191,195,386,"4,154","60,848","7,860","4,269"
16UE,North West,Copeland,32.5,2.7,35.3,137,109,246,"4,223","40,017","6,987","4,517"
16UF,North West,Eden,24.4,4.3,28.7,132,240,373,"5,423","56,293","12,995","5,760"
30UF,North West,Fylde,36.4,3.1,39.5,161,240,401,"4,418","77,066","10,145","4,679"
00ET,North West,Halton,54.1,3.5,57.6,206,524,730,"3,809","151,476","12,680","3,957"
30UG,North West,Hyndburn,36.1,3.0,39.0,135,174,309,"3,744","58,505","7,916","3,999"
00BX,North West,Knowsley,63.9,2.7,66.6,243,580,823,"3,804","211,941","12,358","4,001"
30UH,North West,Lancaster,60.8,5.4,66.3,247,334,581,"4,052","61,431","8,761","4,304"
00BY,North West,Liverpool,211.0,14.0,225.0,775,"1,271","2,046","3,673","90,859","9,094","3,838"
00BN,North West,Manchester,216.3,17.5,233.7,847,"1,877","2,724","3,916","107,489","11,653","4,237"
00BP,North West,Oldham,94.0,6.3,100.3,348,474,822,"3,701","75,102","8,196","3,922"
30UJ,North West,Pendle,39.5,3.2,42.7,148,240,389,"3,751","75,642","9,102","4,025"
30UK,North West,Preston,59.1,5.4,64.5,237,440,677,"4,007","81,212","10,490","4,141"
30UL,North West,Ribble Valley,24.2,2.7,27.0,116,319,435,"4,800","116,123","16,114","4,847"
00BQ,North West,Rochdale,90.7,6.0,96.7,348,501,849,"3,837","83,452","8,778","4,042"
30UM,North West,Rossendale,30.9,2.5,33.4,126,152,278,"4,072","60,757","8,329","4,385"
00BR,North West,Salford,109.8,7.5,117.4,439,640,"1,080","4,001","84,856","9,200","4,340"
00CA,North West,Sefton,124.9,7.8,132.8,491,541,"1,033","3,931","69,257","7,778","4,219"
16UG,North West,South Lakeland,53.3,7.3,60.7,255,355,610,"4,775","48,512","10,053","5,508"
30UN,North West,South Ribble,47.3,3.2,50.5,194,262,456,"4,107","82,580","9,041","4,259"
00BZ,North West,St. Helens,77.9,4.4,82.3,287,504,791,"3,684","113,860","9,613","3,840"
00BS,North West,Stockport,127.0,8.7,135.7,520,629,"1,149","4,092","72,302","8,462","4,306"
00BT,North West,Tameside,99.2,6.3,105.5,370,479,849,"3,729","75,994","8,044","3,959"
00BU,North West,Trafford,97.4,8.1,105.4,409,"1,021","1,430","4,198","126,288","13,557","4,391"
00EU,North West,Warrington,87.9,5.9,93.9,347,674,"1,020","3,945","113,315","10,869","4,130"
30UP,North West,West Lancashire,47.1,3.7,50.8,214,325,538,"4,534","87,050","10,588","4,741"
00BW,North West,Wigan,139.9,8.2,148.1,526,681,"1,206","3,758","83,068","8,145","3,913"
00CB,North West,Wirral,147.6,8.6,156.3,567,653,"1,220","3,842","75,652","7,809","4,093"
30UQ,North West,Wyre,48.9,4.1,53.0,212,302,514,"4,332","73,413","9,698","4,507"
00CC,Yorkshire and The Humber,Barnsley,105.1,6.3,111.4,368,495,863,"3,503","78,945","7,750","3,728"
00CX,Yorkshire and The Humber,Bradford,210.1,14.7,224.8,815,"1,149","1,964","3,881","77,951","8,739","4,182"
00CY,Yorkshire and The Humber,Calderdale,93.6,7.1,100.7,370,519,889,"3,957","73,376","8,830","4,249"
36UB,Yorkshire and The Humber,Craven,26.2,3.5,29.7,119,147,266,"4,533","42,194","8,952","4,880"
00CE,Yorkshire and The Humber,Doncaster,130.5,8.6,139.1,482,825,"1,307","3,690","96,498","9,396","3,846"
00FB,Yorkshire and The Humber,East Riding of Yorkshire,150.6,12.3,163.0,633,"1,060","1,693","4,202","85,895","10,386","4,456"
36UC,Yorkshire and The Humber,Hambleton,39.4,5.1,44.6,182,299,481,"4,617","58,230","10,791","4,820"
36UD,Yorkshire and The Humber,Harrogate,70.2,7.9,78.1,316,515,831,"4,499","65,603","10,644","4,771"
00FA,Yorkshire and The Humber,"Kingston upon Hull, City of",118.3,8.2,126.5,414,741,"1,156","3,501","90,794","9,137","3,725"
00CZ,Yorkshire and The Humber,Kirklees,179.8,12.6,192.5,680,966,"1,646","3,782","76,560","8,552","3,998"
00DA,Yorkshire and The Humber,Leeds,339.4,23.7,363.1,"1,336","2,286","3,622","3,938","96,393","9,977","4,210"
00FC,Yorkshire and The Humber,North East Lincolnshire,71.7,4.6,76.3,271,622,893,"3,774","135,703","11,702","3,960"
00FD,Yorkshire and The Humber,North Lincolnshire,72.9,5.7,78.6,284,"1,182","1,466","3,901","206,093","18,648","4,091"
36UE,Yorkshire and The Humber,Richmondshire,22.7,2.8,25.5,106,137,243,"4,654","48,301","9,500","5,107"
00CF,Yorkshire and The Humber,Rotherham,112.9,6.7,119.7,408,690,"1,098","3,615","102,443","9,179","3,821"
36UF,Yorkshire and The Humber,Ryedale,24.4,3.7,28.1,115,184,299,"4,712","49,334","10,641","5,131"
36UG,Yorkshire and The Humber,Scarborough,57.2,6.1,63.3,223,302,525,"3,897","49,522","8,295","4,572"
36UH,Yorkshire and The Humber,Selby,36.1,3.1,39.3,164,369,534,"4,547","117,781","13,593","4,838"
00CG,Yorkshire and The Humber,Sheffield,236.4,16.2,252.6,845,"1,604","2,450","3,577","98,747","9,698","3,737"
00DB,Yorkshire and The Humber,Wakefield,147.3,9.9,157.1,534,"1,077","1,611","3,625","109,227","10,252","3,851"
00FF,Yorkshire and The Humber,York,87.2,6.9,94.1,333,506,840,"3,819","73,856","8,922","4,068"
17UB,East Midlands,Amber Valley,55.0,4.0,58.9,225,364,590,"4,098","92,206","10,010","4,331"
37UB,East Midlands,Ashfield,52.3,3.0,55.4,198,360,558,"3,785","118,974","10,076","3,966"
37UC,East Midlands,Bassetlaw,50.1,4.1,54.2,211,334,545,"4,218","80,590","10,051","4,458"
31UB,East Midlands,Blaby,39.4,2.2,41.6,162,220,382,"4,119","100,850","9,194","4,239"
17UC,East Midlands,Bolsover,34.2,1.9,36.1,125,186,312,"3,664","97,998","8,626","3,894"
32UB,East Midlands,Boston,28.5,2.5,30.9,126,212,338,"4,423","86,216","10,921","4,669"
37UD,East Midlands,Broxtowe,49.0,2.9,51.9,188,174,362,"3,841","60,082","6,975","4,047"
31UC,East Midlands,Charnwood,68.8,5.0,73.8,275,461,737,"4,006","92,390","9,985","4,214"
17UD,East Midlands,Chesterfield,48.3,3.9,52.2,169,227,396,"3,495","58,179","7,589","3,664"
34UB,East Midlands,Corby,26.2,2.1,28.3,99,365,464,"3,759","176,863","16,383","4,030"
34UC,East Midlands,Daventry,33.7,3.1,36.8,173,262,435,"5,119","85,964","11,827","5,441"
00FK,East Midlands,Derby,107.9,7.2,115.1,406,744,"1,150","3,761","102,978","9,989","4,041"
17UF,East Midlands,Derbyshire Dales,33.0,4.4,37.4,155,242,398,"4,705","55,060","10,623","5,095"
32UC,East Midlands,East Lindsey,65.0,7.4,72.4,308,384,692,"4,733","52,076","9,553","5,074"
34UD,East Midlands,East Northamptonshire,37.4,2.6,40.0,169,166,335,"4,535","62,508","8,372","4,811"
17UG,East Midlands,Erewash,50.2,3.4,53.6,195,269,464,"3,888","79,132","8,659","4,066"
37UE,East Midlands,Gedling,51.3,2.5,53.8,209,163,372,"4,069","65,622","6,919","4,293"
31UD,East Midlands,Harborough,35.9,3.3,39.2,169,212,382,"4,716","63,977","9,730","4,910"
17UH,East Midlands,High Peak,40.4,3.5,43.9,168,588,756,"4,155","167,602","17,218","4,338"
31UE,East Midlands,Hinckley and Bosworth,47.1,3.4,50.5,194,245,439,"4,120","71,695","8,685","4,326"
34UE,East Midlands,Kettering,41.6,2.9,44.5,169,239,408,"4,064","81,332","9,158","4,322"
00FN,East Midlands,Leicester,127.4,11.7,139.1,458,955,"1,413","3,598","81,464","10,157","3,806"
32UD,East Midlands,Lincoln,42.2,3.3,45.5,148,265,414,"3,509","79,983","9,085","3,753"
37UF,East Midlands,Mansfield,47.1,2.9,50.1,169,244,413,"3,577","83,067","8,243","3,807"
31UG,East Midlands,Melton,22.2,2.1,24.3,102,163,265,"4,574","77,819","10,889","4,809"
37UG,East Midlands,Newark and Sherwood,51.0,4.3,55.3,218,416,634,"4,271","96,824","11,461","4,488"
17UJ,East Midlands,North East Derbyshire,43.7,2.8,46.5,168,247,415,"3,851","88,554","8,920","3,957"
32UE,East Midlands,North Kesteven,47.8,3.7,51.5,211,263,474,"4,423","71,156","9,210","4,673"
31UH,East Midlands,North West Leicestershire,40.3,3.3,43.6,175,359,534,"4,351","110,028","12,268","4,533"
34UF,East Midlands,Northampton,94.4,6.4,100.9,374,591,966,"3,964","91,783","9,572","4,304"
00FY,East Midlands,Nottingham,130.8,10.9,141.7,490,876,"1,367","3,749","80,067","9,644","3,943"
31UJ,East Midlands,Oadby and Wigston,22.7,1.4,24.1,89,104,193,"3,908","74,101","7,984","4,201"
37UJ,East Midlands,Rushcliffe,47.3,3.0,50.3,205,206,411,"4,343","68,706","8,171","4,502"
00FP,East Midlands,Rutland,15.9,1.6,17.5,78,284,362,"4,919","172,160","20,637","5,154"
17UK,East Midlands,South Derbyshire,38.5,2.5,41.0,167,342,509,"4,345","136,535","12,428","4,366"
32UF,East Midlands,South Holland,39.3,3.6,42.9,184,289,473,"4,688","79,534","11,027","5,001"
32UG,East Midlands,South Kesteven,59.8,5.1,65.0,274,400,674,"4,573","78,096","10,373","4,850"
34UG,East Midlands,South Northamptonshire,36.9,3.0,39.9,191,213,404,"5,169","71,513","10,130","5,498"
34UH,East Midlands,Wellingborough,33.4,2.6,36.0,134,231,365,"4,010","87,709","10,142","4,236"
32UH,East Midlands,West Lindsey,40.3,3.8,44.1,179,209,388,"4,441","54,863","8,804","4,701"
00CN,West Midlands,Birmingham,423.6,34.6,458.2,"1,712","2,740","4,452","4,043","79,109","9,716","4,239"
47UB,West Midlands,Bromsgrove,39.0,3.1,42.1,179,149,329,"4,600","47,710","7,801","4,703"
41UB,West Midlands,Cannock Chase,41.5,3.1,44.6,171,175,346,"4,114","56,905","7,763","4,275"
00CQ,West Midlands,Coventry,135.0,8.3,143.2,522,822,"1,344","3,866","99,376","9,381","4,141"
00CR,West Midlands,Dudley,133.7,9.6,143.2,535,611,"1,147","4,003","63,945","8,005","4,175"
41UC,West Midlands,East Staffordshire,48.3,4.2,52.5,207,461,668,"4,284","108,975","12,712","4,404"
00GA,West Midlands,"Herefordshire, County of",80.8,10.0,90.8,391,590,981,"4,835","59,180","10,801","5,027"
41UD,West Midlands,Lichfield,42.4,3.5,45.9,191,248,439,"4,513","70,320","9,556","4,699"
47UC,West Midlands,Malvern Hills,33.3,3.3,36.6,164,127,291,"4,917","37,992","7,943","5,155"
41UE,West Midlands,Newcastle-under-Lyme,53.7,3.6,57.2,209,239,448,"3,886","67,030","7,826","4,006"
44UB,West Midlands,North Warwickshire,27.1,2.5,29.6,124,441,565,"4,589","178,989","19,119","4,828"
44UC,West Midlands,Nuneaton and Bedworth,55.0,3.3,58.3,220,243,463,"3,998","74,668","7,949","4,232"
47UD,West Midlands,Redditch,35.1,2.3,37.4,140,234,374,"3,991","101,116","9,991","4,107"
44UD,West Midlands,Rugby,43.5,3.4,46.9,190,504,694,"4,373","149,788","14,810","4,621"
00CS,West Midlands,Sandwell,127.7,10.1,137.8,489,901,"1,390","3,828","88,974","10,084","4,079"
00GG,West Midlands,Shropshire,132.8,15.5,148.3,617,908,"1,525","4,643","58,401","10,278","4,819"
00CT,West Midlands,Solihull,88.4,5.2,93.6,398,555,953,"4,504","106,567","10,183","4,668"
41UF,West Midlands,South Staffordshire,45.1,2.9,48.0,199,211,410,"4,406","71,943","8,528","4,509"
41UG,West Midlands,Stafford,56.0,4.8,60.9,245,363,607,"4,363","75,394","9,977","4,436"
41UH,West Midlands,Staffordshire Moorlands,42.9,3.7,46.6,181,326,507,"4,219","87,471","10,873","4,385"
00GL,West Midlands,Stoke-on-Trent,110.5,7.7,118.2,400,552,952,"3,619","71,649","8,053","3,789"
44UE,West Midlands,Stratford-on-Avon,53.7,5.9,59.6,285,314,598,"5,303","53,584","10,046","5,536"
41UK,West Midlands,Tamworth,32.1,2.1,34.1,138,186,324,"4,293","90,533","9,491","4,420"
00GF,West Midlands,Telford and Wrekin,68.1,5.1,73.2,270,626,896,"3,962","123,370","12,241","4,098"
00CU,West Midlands,Walsall,111.1,8.4,119.5,448,559,"1,007","4,029","66,636","8,425","4,243"
44UF,West Midlands,Warwick,60.6,5.6,66.2,264,455,719,"4,358","81,167","10,856","4,538"
00CW,West Midlands,Wolverhampton,105.0,8.3,113.3,417,617,"1,035","3,972","74,776","9,132","4,147"
47UE,West Midlands,Worcester,43.1,3.4,46.5,172,255,428,"3,994","75,938","9,198","4,171"
47UF,West Midlands,Wychavon,51.0,5.2,56.1,251,406,657,"4,928","78,312","11,704","5,116"
47UG,West Midlands,Wyre Forest,43.7,3.2,46.9,185,187,372,"4,241","57,905","7,937","4,372"
42UB,East,Babergh,38.7,3.7,42.4,195,228,423,"5,033","62,041","9,973","5,245"
22UB,East,Basildon,75.0,5.6,80.6,328,479,807,"4,370","86,280","10,019","4,548"
00KB,East,Bedford,67.2,5.4,72.6,286,419,705,"4,260","77,654","9,719","4,547"
22UC,East,Braintree,62.3,5.3,67.7,293,287,581,"4,706","53,820","8,581","4,871"
33UB,East,Breckland,57.3,5.5,62.8,276,340,616,"4,820","61,861","9,808","5,109"
22UD,East,Brentwood,32.2,2.6,34.8,154,163,317,"4,768","62,324","9,093","5,093"
33UC,East,Broadland,54.9,3.8,58.7,247,257,504,"4,499","68,386","8,589","4,682"
26UB,East,Broxbourne,40.0,3.0,43.0,176,249,425,"4,407","83,812","9,886","4,738"
12UB,East,Cambridge,48.4,5.4,53.7,185,531,716,"3,826","98,941","13,325","4,034"
22UE,East,Castle Point,37.5,2.2,39.7,171,90,261,"4,557","41,951","6,591","4,706"
00KC,East,Central Bedfordshire,107.8,7.9,115.7,485,565,"1,050","4,496","71,453","9,072","4,718"
22UF,East,Chelmsford,71.4,5.5,76.9,339,409,748,"4,748","74,631","9,728","4,924"
22UG,East,Colchester,74.9,6.2,81.1,329,383,712,"4,390","61,588","8,776","4,651"
26UC,East,Dacorum,61.4,5.0,66.4,270,322,592,"4,403","64,921","8,927","4,583"
12UC,East,East Cambridgeshire,36.0,3.3,39.3,170,184,354,"4,719","56,110","9,010","5,000"
26UD,East,East Hertfordshire,59.3,5.3,64.6,295,305,599,"4,966","57,422","9,275","5,283"
22UH,East,Epping Forest,54.3,5.0,59.3,269,231,499,"4,947","46,348","8,427","5,186"
12UD,East,Fenland,42.5,3.8,46.2,192,309,501,"4,511","82,464","10,833","4,773"
42UC,East,Forest Heath,27.2,2.7,29.9,137,266,403,"5,055","98,644","13,509","5,602"
33UD,East,Great Yarmouth,44.5,4.1,48.7,195,214,408,"4,370","51,752","8,393","4,680"
22UJ,East,Harlow,36.1,2.8,38.9,135,312,446,"3,740","110,474","11,482","3,957"
26UE,East,Hertsmere,41.1,3.4,44.4,194,293,487,"4,728","86,874","10,963","4,958"
12UE,East,Huntingdonshire,71.6,6.4,78.0,321,535,855,"4,475","83,984","10,964","4,676"
42UD,East,Ipswich,59.1,4.6,63.8,230,343,572,"3,881","74,048","8,972","4,106"
33UE,East,King's Lynn and West Norfolk,70.4,6.3,76.7,353,779,"1,133","5,024","123,469","14,773","5,674"
00KA,East,Luton,76.2,5.2,81.4,300,460,760,"3,942","87,995","9,336","4,112"
22UK,East,Maldon,26.8,2.5,29.4,142,162,304,"5,300","63,898","10,354","5,508"
42UE,East,Mid Suffolk,41.7,4.0,45.7,220,271,491,"5,285","67,159","10,742","5,537"
26UF,East,North Hertfordshire,55.0,5.1,60.2,243,279,523,"4,421","54,509","8,689","4,633"
33UF,East,North Norfolk,53.7,5.6,59.3,260,281,540,"4,837","50,173","9,115","5,724"
33UG,East,Norwich,63.7,6.7,70.4,211,417,628,"3,317","62,251","8,925","3,589"
00JA,East,Peterborough,76.8,6.2,83.1,301,653,954,"3,912","104,610","11,483","4,125"
22UL,East,Rochford,34.5,2.3,36.7,158,142,301,"4,595","63,233","8,185","4,718"
12UG,East,South Cambridgeshire,61.8,5.2,67.0,304,499,803,"4,921","95,393","11,985","5,159"
33UH,East,South Norfolk,54.9,4.8,59.7,272,285,557,"4,954","59,430","9,334","5,246"
00KF,East,Southend-on-Sea,78.9,6.4,85.3,321,322,643,"4,070","50,167","7,536","4,372"
26UG,East,St Albans,58.2,4.5,62.7,264,264,528,"4,539","58,082","8,419","4,776"
42UF,East,St Edmundsbury,46.6,4.5,51.0,212,332,544,"4,557","74,306","10,669","4,701"
26UH,East,Stevenage,35.5,2.4,37.9,135,312,447,"3,800","128,804","11,771","3,955"
42UG,East,Suffolk Coastal,58.3,5.4,63.8,285,298,584,"4,887","55,218","9,153","5,331"
22UN,East,Tendring,67.4,5.2,72.6,289,237,526,"4,287","45,652","7,250","4,662"
26UJ,East,Three Rivers,36.2,2.5,38.7,174,165,339,"4,817","65,702","8,766","4,968"
00KG,East,Thurrock,65.6,4.2,69.8,292,724,"1,016","4,460","170,638","14,558","4,749"
22UQ,East,Uttlesford,33.1,3.5,36.5,175,235,411,"5,294","68,116","11,239","5,669"
26UK,East,Watford,38.0,3.4,41.4,155,355,509,"4,073","102,949","12,302","4,360"
42UH,East,Waveney,55.1,4.4,59.5,227,348,576,"4,124","78,653","9,672","4,480"
26UL,East,Welwyn Hatfield,45.8,3.4,49.1,194,423,617,"4,243","125,300","12,553","4,497"
00AB,London,Barking and Dagenham,73.3,5.4,78.7,285,472,757,"3,890","87,434","9,618","4,168"
00AC,London,Barnet,141.0,11.5,152.5,651,562,"1,213","4,618","48,818","7,955","4,877"
00AD,London,Bexley,95.2,6.7,101.9,403,404,807,"4,226","60,522","7,916","4,387"
00AE,London,Brent,111.8,13.1,124.9,447,639,"1,086","3,998","48,683","8,694","4,137"
00AF,London,Bromley,135.3,10.7,146.0,587,461,"1,047","4,337","43,125","7,174","4,541"
00AG,London,Camden,99.8,26.3,126.1,367,"1,460","1,827","3,678","55,497","14,484","3,915"
00AA,London,City of London,5.8,7.4,13.2,26,"2,657","2,684","4,556","359,291","203,375","6,540"
00AH,London,Croydon,146.8,11.8,158.6,615,722,"1,337","4,190","61,210","8,430","4,312"
00AJ,London,Ealing,128.9,11.7,140.7,504,859,"1,363","3,905","73,288","9,687","4,098"
00AK,London,Enfield,124.1,8.6,132.7,527,545,"1,072","4,247","63,504","8,081","4,496"
00AL,London,Greenwich,104.6,8.8,113.3,389,418,807,"3,718","47,675","7,116","3,922"
00AM,London,Hackney,99.8,16.4,116.2,351,455,806,"3,518","27,726","6,937","3,567"
00AN,London,Hammersmith and Fulham,81.9,13.6,95.5,294,753,"1,047","3,586","55,486","10,958","3,719"
00AP,London,Haringey,104.1,9.0,113.1,388,416,805,"3,731","46,256","7,114","3,866"
00AQ,London,Harrow,86.7,5.7,92.4,373,254,628,"4,307","44,343","6,791","4,456"
00AR,London,Havering,100.0,6.9,106.9,432,473,905,"4,318","68,109","8,463","4,500"
00AS,London,Hillingdon,105.5,7.8,113.3,443,"1,140","1,584","4,200","146,073","13,975","4,469"
00AT,London,Hounslow,97.2,8.0,105.2,398,"1,004","1,402","4,095","124,946","13,319","4,285"
00AU,London,Islington,97.1,17.9,115.1,328,984,"1,312","3,377","54,826","11,401","3,614"
00AW,London,Kensington and Chelsea,88.5,18.5,107.0,386,"1,258","1,644","4,367","67,894","15,363","4,956"
00AX,London,Kingston upon Thames,64.9,6.2,71.0,283,321,604,"4,364","52,220","8,508","4,496"
00AY,London,Lambeth,133.7,17.5,151.2,458,697,"1,155","3,424","39,791","7,635","3,614"
00AZ,London,Lewisham,118.0,11.1,129.1,429,364,792,"3,632","32,717","6,137","3,770"
00BA,London,Merton,81.0,7.4,88.4,330,494,824,"4,074","66,990","9,322","4,211"
00BB,London,Newham,103.3,9.9,113.1,386,967,"1,353","3,735","97,963","11,957","3,892"
00BC,London,Redbridge,101.1,7.9,109.1,426,288,713,"4,210","36,199","6,541","4,351"
00BD,London,Richmond upon Thames,81.8,8.3,90.1,356,378,734,"4,348","45,687","8,147","4,497"
00BE,London,Southwark,126.4,17.6,144.0,464,"1,212","1,675","3,667","68,927","11,633","3,936"
00BF,London,Sutton,80.1,6.0,86.1,347,389,736,"4,328","64,492","8,542","4,492"
00BG,London,Tower Hamlets,106.2,15.6,121.8,403,"2,762","3,165","3,790","177,222","25,980","4,122"
00BH,London,Waltham Forest,97.4,8.7,106.1,369,387,756,"3,791","44,629","7,131","3,877"
00BJ,London,Wandsworth,134.8,15.8,150.6,514,498,"1,011","3,810","31,428","6,714","4,006"
00BK,London,Westminster,121.3,42.0,163.3,511,"3,553","4,064","4,211","84,560","24,882","4,875"
45UB,South East,Adur,27.7,2.1,29.8,118,107,225,"4,258","51,409","7,545","4,412"
45UC,South East,Arun,70.6,5.6,76.2,297,241,538,"4,212","43,131","7,063","4,489"
29UB,South East,Ashford,49.5,5.0,54.5,228,282,510,"4,603","56,434","9,355","4,865"
11UB,South East,Aylesbury Vale,72.0,5.9,77.9,345,316,661,"4,798","53,306","8,486","5,057"
24UB,South East,Basingstoke and Deane,72.1,5.5,77.6,322,569,891,"4,461","104,080","11,480","4,725"
00MA,South East,Bracknell Forest,46.0,2.9,48.9,208,350,558,"4,526","121,837","11,422","4,615"
00ML,South East,Brighton and Hove,125.1,14.0,139.1,477,576,"1,053","3,815","41,246","7,574","4,032"
29UC,South East,Canterbury,63.4,5.8,69.2,259,327,587,"4,089","56,263","8,473","4,323"
38UB,South East,Cherwell,59.1,5.5,64.6,280,474,754,"4,738","85,995","11,670","4,960"
45UD,South East,Chichester,55.7,6.3,61.9,276,316,592,"4,959","50,435","9,557","5,595"
11UC,South East,Chiltern,38.2,3.1,41.3,201,156,357,"5,255","50,770","8,645","5,510"
45UE,South East,Crawley,42.9,3.2,46.0,169,493,663,"3,950","154,878","14,391","4,036"
29UD,South East,Dartford,40.7,3.6,44.3,169,297,466,"4,149","82,714","10,525","4,323"
29UE,South East,Dover,49.9,4.4,54.3,193,225,417,"3,858","51,638","7,686","4,052"
